total desired batch size: 524288
=> calculated gradient accumulation steps: 4
found 99 shards for split train
found 1 shards for split val
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
validation loss: 10.9512
HellaSwag accuracy: 2492/10042=0.2482
step     0 | loss: 10.955029 | lr 2.5175e-06 | norm: 15.3465 | dt: 16596.36ms | tok/sec: 31590.53
step     1 | loss: 10.805596 | lr 5.0350e-06 | norm: 14.1520 | dt: 482.83ms | tok/sec: 1085861.80
step     2 | loss: 10.556870 | lr 7.5524e-06 | norm: 10.9359 | dt: 461.87ms | tok/sec: 1135146.14
step     3 | loss: 10.313648 | lr 1.0070e-05 | norm: 8.1958 | dt: 461.18ms | tok/sec: 1136847.99
step     4 | loss: 10.126205 | lr 1.2587e-05 | norm: 6.4079 | dt: 462.04ms | tok/sec: 1134732.01
step     5 | loss: 9.960718 | lr 1.5105e-05 | norm: 4.8264 | dt: 461.65ms | tok/sec: 1135690.76
step     6 | loss: 9.846822 | lr 1.7622e-05 | norm: 3.7019 | dt: 463.88ms | tok/sec: 1130228.99
step     7 | loss: 9.766680 | lr 2.0140e-05 | norm: 3.0443 | dt: 462.38ms | tok/sec: 1133896.47
step     8 | loss: 9.691129 | lr 2.2657e-05 | norm: 2.7009 | dt: 463.18ms | tok/sec: 1131924.86
step     9 | loss: 9.659022 | lr 2.5175e-05 | norm: 2.4961 | dt: 462.74ms | tok/sec: 1133002.62
step    10 | loss: 9.613846 | lr 2.7692e-05 | norm: 2.3475 | dt: 462.54ms | tok/sec: 1133499.61
step    11 | loss: 9.604976 | lr 3.0210e-05 | norm: 2.3046 | dt: 462.13ms | tok/sec: 1134511.30
step    12 | loss: 9.576587 | lr 3.2727e-05 | norm: 2.2282 | dt: 460.92ms | tok/sec: 1137471.91
step    13 | loss: 9.552113 | lr 3.5245e-05 | norm: 2.1803 | dt: 461.57ms | tok/sec: 1135885.52
step    14 | loss: 9.485129 | lr 3.7762e-05 | norm: 2.2223 | dt: 461.89ms | tok/sec: 1135095.74
step    15 | loss: 9.453655 | lr 4.0280e-05 | norm: 2.2262 | dt: 462.39ms | tok/sec: 1133876.59
step    16 | loss: 9.413474 | lr 4.2797e-05 | norm: 2.1496 | dt: 461.63ms | tok/sec: 1135724.78
step    17 | loss: 9.359561 | lr 4.5315e-05 | norm: 2.0564 | dt: 461.68ms | tok/sec: 1135615.69
step    18 | loss: 9.401819 | lr 4.7832e-05 | norm: 2.0167 | dt: 462.73ms | tok/sec: 1133034.14
step    19 | loss: 9.369762 | lr 5.0350e-05 | norm: 2.0886 | dt: 462.68ms | tok/sec: 1133156.17
step    20 | loss: 9.217019 | lr 5.2867e-05 | norm: 2.0568 | dt: 462.31ms | tok/sec: 1134052.02
step    21 | loss: 9.147082 | lr 5.5385e-05 | norm: 1.9746 | dt: 462.93ms | tok/sec: 1132530.56
step    22 | loss: 9.115425 | lr 5.7902e-05 | norm: 2.6460 | dt: 462.24ms | tok/sec: 1134233.35
step    23 | loss: 9.077339 | lr 6.0420e-05 | norm: 2.2101 | dt: 462.59ms | tok/sec: 1133375.18
step    24 | loss: 8.974482 | lr 6.2937e-05 | norm: 1.8925 | dt: 462.49ms | tok/sec: 1133629.92
step    25 | loss: 8.906324 | lr 6.5455e-05 | norm: 2.2716 | dt: 462.02ms | tok/sec: 1134765.38
step    26 | loss: 8.857051 | lr 6.7972e-05 | norm: 1.9928 | dt: 462.14ms | tok/sec: 1134473.26
step    27 | loss: 8.764776 | lr 7.0490e-05 | norm: 1.9796 | dt: 462.65ms | tok/sec: 1133216.31
step    28 | loss: 8.692684 | lr 7.3007e-05 | norm: 1.8595 | dt: 463.01ms | tok/sec: 1132348.60
step    29 | loss: 8.598875 | lr 7.5524e-05 | norm: 2.2784 | dt: 463.05ms | tok/sec: 1132258.23
step    30 | loss: 8.630203 | lr 7.8042e-05 | norm: 1.8735 | dt: 463.13ms | tok/sec: 1132061.22
step    31 | loss: 8.521152 | lr 8.0559e-05 | norm: 1.7178 | dt: 464.12ms | tok/sec: 1129648.39
step    32 | loss: 8.477915 | lr 8.3077e-05 | norm: 2.0721 | dt: 463.17ms | tok/sec: 1131949.92
step    33 | loss: 8.395669 | lr 8.5594e-05 | norm: 1.5782 | dt: 463.64ms | tok/sec: 1130806.12
step    34 | loss: 8.266251 | lr 8.8112e-05 | norm: 1.7039 | dt: 463.46ms | tok/sec: 1131259.29
step    35 | loss: 8.250738 | lr 9.0629e-05 | norm: 1.4996 | dt: 463.32ms | tok/sec: 1131581.20
step    36 | loss: 8.199953 | lr 9.3147e-05 | norm: 1.5411 | dt: 463.44ms | tok/sec: 1131295.37
step    37 | loss: 8.101552 | lr 9.5664e-05 | norm: 1.4885 | dt: 463.10ms | tok/sec: 1132129.99
step    38 | loss: 8.055723 | lr 9.8182e-05 | norm: 1.4412 | dt: 463.09ms | tok/sec: 1132153.31
step    39 | loss: 8.032644 | lr 1.0070e-04 | norm: 1.4166 | dt: 463.20ms | tok/sec: 1131888.74
step    40 | loss: 7.975389 | lr 1.0322e-04 | norm: 1.3095 | dt: 463.69ms | tok/sec: 1130676.46
step    41 | loss: 7.884372 | lr 1.0573e-04 | norm: 1.5448 | dt: 463.39ms | tok/sec: 1131407.13
step    42 | loss: 7.804976 | lr 1.0825e-04 | norm: 1.2251 | dt: 464.19ms | tok/sec: 1129457.50
step    43 | loss: 7.818301 | lr 1.1077e-04 | norm: 1.1601 | dt: 464.04ms | tok/sec: 1129825.41
step    44 | loss: 7.737690 | lr 1.1329e-04 | norm: 1.1456 | dt: 464.12ms | tok/sec: 1129631.56
step    45 | loss: 7.717219 | lr 1.1580e-04 | norm: 1.3241 | dt: 464.43ms | tok/sec: 1128873.63
step    46 | loss: 7.655186 | lr 1.1832e-04 | norm: 1.2726 | dt: 464.10ms | tok/sec: 1129682.05
step    47 | loss: 7.668200 | lr 1.2084e-04 | norm: 0.9795 | dt: 463.63ms | tok/sec: 1130836.94
step    48 | loss: 7.650196 | lr 1.2336e-04 | norm: 0.9450 | dt: 464.60ms | tok/sec: 1128469.86
step    49 | loss: 7.556896 | lr 1.2587e-04 | norm: 1.1050 | dt: 464.43ms | tok/sec: 1128896.81
step    50 | loss: 7.583548 | lr 1.2839e-04 | norm: 0.8458 | dt: 464.27ms | tok/sec: 1129267.26
step    51 | loss: 7.516428 | lr 1.3091e-04 | norm: 0.8498 | dt: 463.94ms | tok/sec: 1130080.88
step    52 | loss: 7.488414 | lr 1.3343e-04 | norm: 0.8581 | dt: 463.87ms | tok/sec: 1130255.13
step    53 | loss: 7.413902 | lr 1.3594e-04 | norm: 0.7548 | dt: 464.45ms | tok/sec: 1128824.95
step    54 | loss: 7.426440 | lr 1.3846e-04 | norm: 0.7590 | dt: 464.96ms | tok/sec: 1127597.83
step    55 | loss: 7.411922 | lr 1.4098e-04 | norm: 0.8167 | dt: 465.48ms | tok/sec: 1126347.42
step    56 | loss: 7.369915 | lr 1.4350e-04 | norm: 1.3450 | dt: 465.38ms | tok/sec: 1126573.04
step    57 | loss: 7.356026 | lr 1.4601e-04 | norm: 1.3522 | dt: 465.51ms | tok/sec: 1126254.54
step    58 | loss: 7.283501 | lr 1.4853e-04 | norm: 1.7720 | dt: 466.40ms | tok/sec: 1124107.09
step    59 | loss: 7.243522 | lr 1.5105e-04 | norm: 1.0306 | dt: 466.34ms | tok/sec: 1124266.28
step    60 | loss: 7.269901 | lr 1.5357e-04 | norm: 2.0710 | dt: 465.43ms | tok/sec: 1126455.31
step    61 | loss: 7.275441 | lr 1.5608e-04 | norm: 0.9420 | dt: 465.33ms | tok/sec: 1126689.64
step    62 | loss: 7.181940 | lr 1.5860e-04 | norm: 1.4350 | dt: 466.23ms | tok/sec: 1124523.27
step    63 | loss: 7.162383 | lr 1.6112e-04 | norm: 0.9236 | dt: 465.55ms | tok/sec: 1126172.64
step    64 | loss: 7.138576 | lr 1.6364e-04 | norm: 0.8571 | dt: 465.66ms | tok/sec: 1125911.44
